============================================
vis/sebastianb1-output.txt
22:17:25_Sunday_15_October_2017
============================================
======================================================
                    SHOCK WAVE                        
======================================================
M,theta,beta_lower,beta_upper
2.0,0,30.000000,90.000000
2.0,1,30.811426,89.399727
2.0,2,31.646288,88.797809
2.0,3,32.505539,88.192572
2.0,4,33.390236,87.582283
2.0,5,34.301575,86.965115
2.0,6,35.240917,86.339110
2.0,7,36.209830,85.702132
2.0,8,37.210136,85.051814
2.0,9,38.243984,84.385486
2.0,10,39.313932,83.700080
2.0,11,40.423072,82.992015
2.0,12,41.575195,82.257022
2.0,13,42.775023,81.489909
2.0,14,44.028561,80.684217
2.0,15,45.343617,79.831687
2.0,16,46.730641,78.921432
2.0,17,48.204127,77.938527
2.0,18,49.785132,76.861492
2.0,19,51.506270,75.657297
2.0,20,53.422941,74.270137
2.0,21,55.644290,72.590465
2.0,22,58.456561,70.331647
4.0,0,14.477512,90.000000
4.0,1,15.131265,89.719941
4.0,2,15.812579,89.439529
4.0,3,16.521451,89.158407
4.0,4,17.257761,88.876216
4.0,5,18.021291,88.592587
4.0,6,18.811730,88.307142
4.0,7,19.628693,88.019492
4.0,8,20.471740,87.729230
4.0,9,21.340391,87.435930
4.0,10,22.234146,87.139146
4.0,11,23.152503,86.838401
4.0,12,24.094977,86.533190
4.0,13,25.061119,86.222970
4.0,14,26.050529,85.907152
4.0,15,27.062877,85.585100
4.0,16,28.097914,85.256116
4.0,17,29.155495,84.919434
4.0,18,30.235589,84.574203
4.0,19,31.338302,84.219476
4.0,20,32.463897,83.854189
4.0,21,33.612818,83.477139
4.0,22,34.785719,83.086952
4.0,23,35.983504,82.682047
4.0,24,37.207369,82.260592
4.0,25,38.458870,81.820431
4.0,26,39.740003,81.359009
4.0,27,41.053320,80.873251
4.0,28,42.402086,80.359401
4.0,29,43.790507,79.812795
4.0,30,45.224076,79.227514
4.0,31,46.710087,78.595867
4.0,32,48.258480,77.907541
4.0,33,49.883270,77.148175
4.0,34,51.605176,76.296728
4.0,35,53.456928,75.320168
4.0,36,55.495654,74.161087
4.0,37,57.838963,72.701613
4.0,38,60.827140,70.601218
6.0,0,9.594068,90.000000
6.0,1,10.230742,89.765671
6.0,2,10.906348,89.531078
6.0,3,11.620372,89.295960
6.0,4,12.371918,89.060047
6.0,5,13.159761,88.823068
6.0,6,13.982420,88.584746
6.0,7,14.838234,88.344794
6.0,8,15.725442,88.102916
6.0,9,16.642245,87.858805
6.0,10,17.586867,87.612139
6.0,11,18.557607,87.362580
6.0,12,19.552866,87.109771
6.0,13,20.571181,86.853331
6.0,14,21.611238,86.592856
6.0,15,22.671883,86.327910
6.0,16,23.752125,86.058025
6.0,17,24.851142,85.782690
6.0,18,25.968280,85.501351
6.0,19,27.103051,85.213400
6.0,20,28.255137,84.918165
6.0,21,29.424388,84.614903
6.0,22,30.610828,84.302785
6.0,23,31.814664,83.980879
6.0,24,33.036293,83.648132
6.0,25,34.276327,83.303348
6.0,26,35.535607,82.945151
6.0,27,36.815245,82.571952
6.0,28,38.116666,82.181893
6.0,29,39.441672,81.772782
6.0,30,40.792526,81.342000
6.0,31,42.172078,80.886377
6.0,32,43.583936,80.402013
6.0,33,45.032716,79.884028
6.0,34,46.524425,79.326173
6.0,35,48.067051,78.720241
6.0,36,49.671539,78.055086
6.0,37,51.353479,77.314933
6.0,38,53.136315,76.476171
6.0,39,55.058099,75.500595
6.0,40,57.188252,74.318642
6.0,41,59.682031,72.774922
6.0,42,63.104865,70.303888
8.0,0,7.180756,90.000000
8.0,1,7.815874,89.780913
8.0,2,8.501741,89.561590
8.0,3,9.236971,89.341794
8.0,4,10.019345,89.121285
8.0,5,10.846018,88.899819
8.0,6,11.713757,88.677147
8.0,7,12.619161,88.453014
8.0,8,13.558845,88.227154
8.0,9,14.529581,87.999295
8.0,10,15.528385,87.769149
8.0,11,16.552572,87.536417
8.0,12,17.599774,87.300783
8.0,13,18.667942,87.061913
8.0,14,19.755331,86.819449
8.0,15,20.860481,86.573012
8.0,16,21.982196,86.322192
8.0,17,23.119516,86.066546
8.0,18,24.271704,85.805596
