x,lagrange,spline
0.010000,0.144681,0.123249
0.020000,0.288607,0.246489
0.030000,0.431779,0.369714
0.040000,0.574199,0.492915
0.050000,0.715868,0.616084
0.060000,0.856789,0.739214
0.070000,0.996963,0.862296
0.080000,1.136391,0.985322
0.090000,1.275075,1.108284
0.100000,1.413018,1.231175
0.110000,1.550220,1.353986
0.120000,1.686683,1.476710
0.130000,1.822410,1.599339
0.140000,1.957401,1.721864
0.150000,2.091658,1.844278
0.160000,2.225184,1.966573
0.170000,2.357979,2.088740
0.180000,2.490046,2.210773
0.190000,2.621386,2.332662
0.200000,2.752000,2.454400
0.210000,2.881891,2.575979
0.220000,3.011060,2.697391
0.230000,3.139509,2.818629
0.240000,3.267239,2.939683
0.250000,3.394252,3.060547
0.260000,3.520550,3.181212
0.270000,3.646135,3.301670
0.280000,3.771008,3.421914
0.290000,3.895171,3.541935
0.300000,4.018625,3.661725
0.310000,4.141372,3.781277
0.320000,4.263415,3.900582
0.330000,4.384754,4.019633
0.340000,4.505391,4.138422
0.350000,4.625328,4.256941
0.360000,4.744567,4.375181
0.370000,4.863109,4.493135
0.380000,4.980956,4.610795
0.390000,5.098109,4.728152
0.400000,5.214571,4.845200
0.410000,5.330343,4.961930
0.420000,5.445427,5.078333
0.430000,5.559824,5.194403
0.440000,5.673536,5.310131
0.450000,5.786565,5.425509
0.460000,5.898912,5.540530
0.470000,6.010579,5.655185
0.480000,6.121568,5.769466
0.490000,6.231880,5.883365
0.500000,6.341518,5.996875
0.510000,6.450482,6.109987
0.520000,6.558775,6.222694
0.530000,6.666398,6.334988
0.540000,6.773352,6.446860
0.550000,6.879641,6.558303
0.560000,6.985264,6.669309
0.570000,7.090224,6.779869
0.580000,7.194523,6.889977
0.590000,7.298162,6.999623
0.600000,7.401143,7.108800
0.610000,7.503467,7.217500
0.620000,7.605137,7.325715
0.630000,7.706154,7.433438
0.640000,7.806519,7.540659
0.650000,7.906234,7.647372
0.660000,8.005302,7.753568
0.670000,8.103723,7.859239
0.680000,8.201499,7.964378
0.690000,8.298633,8.068976
0.700000,8.395125,8.173025
0.710000,8.490977,8.276518
0.720000,8.586192,8.379446
0.730000,8.680770,8.481802
0.740000,8.774714,8.583578
0.750000,8.868025,8.684766
0.760000,8.960704,8.785357
0.770000,9.052754,8.885344
0.780000,9.144176,8.984719
0.790000,9.234972,9.083473
0.800000,9.325143,9.181600
0.810000,9.414691,9.279091
0.820000,9.503618,9.375937
0.830000,9.591926,9.472132
0.840000,9.679616,9.567667
0.850000,9.766690,9.662534
0.860000,9.853149,9.756726
0.870000,9.938995,9.850234
0.880000,10.024231,9.943050
0.890000,10.108857,10.035166
0.900000,10.192875,10.126575
0.910000,10.276287,10.217268
0.920000,10.359095,10.307238
0.930000,10.441300,10.396477
0.940000,10.522904,10.484976
0.950000,10.603908,10.572728
0.960000,10.684315,10.659725
0.970000,10.764126,10.745958
0.980000,10.843343,10.831421
0.990000,10.921967,10.916104
1.000000,11.000000,11.000000
1.010000,11.077444,11.083103
1.020000,11.154300,11.165415
1.030000,11.230570,11.246940
1.040000,11.306256,11.327682
1.050000,11.381359,11.407644
1.060000,11.455882,11.486830
1.070000,11.529825,11.565245
1.080000,11.603191,11.642893
1.090000,11.675981,11.719776
1.100000,11.748196,11.795900
1.110000,11.819840,11.871268
1.120000,11.890912,11.945883
1.130000,11.961415,12.019751
1.140000,12.031351,12.092874
1.150000,12.100721,12.165256
1.160000,12.169527,12.236902
1.170000,12.237770,12.307816
1.180000,12.305453,12.378001
1.190000,12.372577,12.447461
1.200000,12.439143,12.516200
1.210000,12.505153,12.584222
1.220000,12.570610,12.651531
1.230000,12.635514,12.718131
1.240000,12.699867,12.784026
1.250000,12.763672,12.849219
1.260000,12.826929,12.913714
1.270000,12.889640,12.977516
1.280000,12.951808,13.040629
1.290000,13.013433,13.103055
1.300000,13.074518,13.164800
1.310000,13.135064,13.225867
1.320000,13.195072,13.286259
1.330000,13.254545,13.345982
1.340000,13.313484,13.405038
1.350000,13.371891,13.463431
1.360000,13.429767,13.521166
1.370000,13.487114,13.578247
1.380000,13.543934,13.634677
1.390000,13.600229,13.690460
1.400000,13.656000,13.745600
