x,lagrange,spline
0.0000,0.0000,0.0000
0.0100,0.1447,0.1232
0.0200,0.2886,0.2465
0.0300,0.4318,0.3697
0.0400,0.5742,0.4929
0.0500,0.7159,0.6161
0.0600,0.8568,0.7392
0.0700,0.9970,0.8623
0.0800,1.1364,0.9853
0.0900,1.2751,1.1083
0.1000,1.4130,1.2312
0.1100,1.5502,1.3540
0.1200,1.6867,1.4767
0.1300,1.8224,1.5993
0.1400,1.9574,1.7219
0.1500,2.0917,1.8443
0.1600,2.2252,1.9666
0.1700,2.3580,2.0887
0.1800,2.4900,2.2108
0.1900,2.6214,2.3327
0.2000,2.7520,2.4544
0.2100,2.8819,2.5760
0.2200,3.0111,2.6974
0.2300,3.1395,2.8186
0.2400,3.2672,2.9397
0.2500,3.3943,3.0605
0.2600,3.5206,3.1812
0.2700,3.6461,3.3017
0.2800,3.7710,3.4219
0.2900,3.8952,3.5419
0.3000,4.0186,3.6617
0.3100,4.1414,3.7813
0.3200,4.2634,3.9006
0.3300,4.3848,4.0196
0.3400,4.5054,4.1384
0.3500,4.6253,4.2569
0.3600,4.7446,4.3752
0.3700,4.8631,4.4931
0.3800,4.9810,4.6108
0.3900,5.0981,4.7282
0.4000,5.2146,4.8452
0.4100,5.3303,4.9619
0.4200,5.4454,5.0783
0.4300,5.5598,5.1944
0.4400,5.6735,5.3101
0.4500,5.7866,5.4255
0.4600,5.8989,5.5405
0.4700,6.0106,5.6552
0.4800,6.1216,5.7695
0.4900,6.2319,5.8834
0.5000,6.3415,5.9969
0.5100,6.4505,6.1100
0.5200,6.5588,6.2227
0.5300,6.6664,6.3350
0.5400,6.7734,6.4469
0.5500,6.8796,6.5583
0.5600,6.9853,6.6693
0.5700,7.0902,6.7799
0.5800,7.1945,6.8900
0.5900,7.2982,6.9996
0.6000,7.4011,7.1088
0.6100,7.5035,7.2175
0.6200,7.6051,7.3257
0.6300,7.7062,7.4334
0.6400,7.8065,7.5407
0.6500,7.9062,7.6474
0.6600,8.0053,7.7536
0.6700,8.1037,7.8592
0.6800,8.2015,7.9644
0.6900,8.2986,8.0690
0.7000,8.3951,8.1730
0.7100,8.4910,8.2765
0.7200,8.5862,8.3794
0.7300,8.6808,8.4818
0.7400,8.7747,8.5836
0.7500,8.8680,8.6848
0.7600,8.9607,8.7854
0.7700,9.0528,8.8853
0.7800,9.1442,8.9847
0.7900,9.2350,9.0835
0.8000,9.3251,9.1816
0.8100,9.4147,9.2791
