x,lagrange,spline
0.0000,0.0000,0.0000
0.0100,0.1364,0.1232
0.0200,0.2723,0.2465
0.0300,0.4076,0.3697
0.0400,0.5424,0.4929
0.0500,0.6767,0.6161
0.0600,0.8104,0.7392
0.0700,0.9436,0.8623
0.0800,1.0763,0.9853
0.0900,1.2084,1.1083
0.1000,1.3400,1.2312
0.1100,1.4711,1.3540
0.1200,1.6016,1.4767
0.1300,1.7316,1.5993
0.1400,1.8611,1.7219
0.1500,1.9900,1.8443
0.1600,2.1184,1.9666
0.1700,2.2463,2.0887
0.1800,2.3736,2.2108
0.1900,2.5004,2.3327
0.2000,2.6267,2.4544
0.2100,2.7524,2.5760
0.2200,2.8776,2.6974
0.2300,3.0023,2.8186
0.2400,3.1264,2.9397
0.2500,3.2500,3.0605
0.2600,3.3731,3.1812
0.2700,3.4956,3.3017
0.2800,3.6176,3.4219
0.2900,3.7391,3.5419
0.3000,3.8600,3.6617
0.3100,3.9804,3.7813
0.3200,4.1003,3.9006
0.3300,4.2196,4.0196
0.3400,4.3384,4.1384
0.3500,4.4567,4.2569
0.3600,4.5744,4.3752
0.3700,4.6916,4.4931
0.3800,4.8083,4.6108
0.3900,4.9244,4.7282
0.4000,5.0400,4.8452
0.4100,5.1551,4.9619
0.4200,5.2696,5.0783
0.4300,5.3836,5.1944
0.4400,5.4971,5.3101
0.4500,5.6100,5.4255
0.4600,5.7224,5.5405
0.4700,5.8343,5.6552
0.4800,5.9456,5.7695
0.4900,6.0564,5.8834
0.5000,6.1667,5.9969
0.5100,6.2764,6.1100
0.5200,6.3856,6.2227
0.5300,6.4943,6.3350
0.5400,6.6024,6.4469
0.5500,6.7100,6.5583
0.5600,6.8171,6.6693
0.5700,6.9236,6.7799
0.5800,7.0296,6.8900
0.5900,7.1351,6.9996
0.6000,7.2400,7.1088
0.6100,7.3444,7.2175
0.6200,7.4483,7.3257
0.6300,7.5516,7.4334
0.6400,7.6544,7.5407
0.6500,7.7567,7.6474
0.6600,7.8584,7.7536
0.6700,7.9596,7.8592
0.6800,8.0603,7.9644
0.6900,8.1604,8.0690
0.7000,8.2600,8.1730
0.7100,8.3591,8.2765
0.7200,8.4576,8.3794
0.7300,8.5556,8.4818
0.7400,8.6531,8.5836
0.7500,8.7500,8.6848
0.7600,8.8464,8.7854
0.7700,8.9423,8.8853
0.7800,9.0376,8.9847
0.7900,9.1324,9.0835
0.8000,9.2267,9.1816
0.8100,9.3204,9.2791
0.8200,9.4136,9.3759
0.8300,9.5063,9.4721
0.8400,9.5984,9.5677
0.8500,9.6900,9.6625
0.8600,9.7811,9.7567
0.8700,9.8716,9.8502
0.8800,9.9616,9.9430
0.8900,10.0511,10.0352
0.9000,10.1400,10.1266
0.9100,10.2284,10.2173
0.9200,10.3163,10.3072
0.9300,10.4036,10.3965
0.9400,10.4904,10.4850
0.9500,10.5767,10.5727
0.9600,10.6624,10.6597
0.9700,10.7476,10.7460
0.9800,10.8323,10.8314
0.9900,10.9164,10.9161
1.0000,11.0000,11.0000
1.0100,11.0831,11.0831
1.0200,11.1656,11.1654
1.0300,11.2476,11.2469
1.0400,11.3291,11.3277
1.0500,11.4100,11.4076
1.0600,11.4904,11.4868
1.0700,11.5703,11.5652
1.0800,11.6496,11.6429
1.0900,11.7284,11.7198
1.1000,11.8067,11.7959
1.1100,11.8844,11.8713
1.1200,11.9616,11.9459
1.1300,12.0383,12.0198
1.1400,12.1144,12.0929
1.1500,12.1900,12.1653
1.1600,12.2651,12.2369
1.1700,12.3396,12.3078
1.1800,12.4136,12.3780
1.1900,12.4871,12.4475
1.2000,12.5600,12.5162
1.2100,12.6324,12.5842
1.2200,12.7043,12.6515
1.2300,12.7756,12.7181
1.2400,12.8464,12.7840
1.2500,12.9167,12.8492
1.2600,12.9864,12.9137
1.2700,13.0556,12.9775
1.2800,13.1243,13.0406
1.2900,13.1924,13.1031
1.3000,13.2600,13.1648
1.3100,13.3271,13.2259
1.3200,13.3936,13.2863
1.3300,13.4596,13.3460
1.3400,13.5251,13.4050
1.3500,13.5900,13.4634
1.3600,13.6544,13.5212
1.3700,13.7183,13.5782
1.3800,13.7816,13.6347
1.3900,13.8444,13.6905
1.4000,13.9067,13.7456
1.4100,13.9684,13.8001
1.4200,14.0296,13.8540
1.4300,14.0903,13.9072
1.4400,14.1504,13.9598
1.4500,14.2100,14.0118
1.4600,14.2691,14.0632
1.4700,14.3276,14.1139
1.4800,14.3856,14.1640
1.4900,14.4431,14.2136
1.5000,14.5000,14.2625
1.5100,14.5564,14.3108
1.5200,14.6123,14.3586
1.5300,14.6676,14.4057
1.5400,14.7224,14.4522
1.5500,14.7767,14.4982
1.5600,14.8304,14.5436
1.5700,14.8836,14.5884
1.5800,14.9363,14.6326
1.5900,14.9884,14.6763
