x,f(x)
0.0000,0.0000
0.0100,-5851559844823186886598028610335589422596096.0000
0.0200,11645527309723383145798618058080284009562112.0000
0.0300,-17320621611818657517916361292170219755667456.0000
0.0400,22808934932251804920354603990370250584489984.0000
0.0500,-28034389620843023728348736824486801526751232.0000
0.0600,32913043820016780257024850222488324658954240.0000
0.0700,-37355440801441185739230587034540588685852672.0000
0.0800,41270910772132009206064975506635309075922944.0000
0.0900,-44573456543175587687669143169157510023086080.0000
0.1000,47188623244284268808310222537306572972883968.0000
0.1100,-49060597568495116235743275651695438376992768.0000
0.1200,50158723293298863879305432827374291742883840.0000
0.1300,-50482662894565540399901540132963390601560064.0000
0.1400,50065571568753257602009995647691993840091136.0000
0.1500,-48974858908515246915226920791460887085973504.0000
0.1600,47310364826857876459131410007107617679212544.0000
0.1700,-45200036074254840810692320465365310657003520.0000
0.1800,42793425308590414222386232895101757441441792.0000
0.1900,-40253520100948541474256550409114087686406144.0000
0.2000,37747528457657765635492426145506945201602560.0000
0.2100,-35437295884515179170152540021834603745509376.0000
0.2200,33470012908834636959686316365328302498381824.0000
0.2300,-31969805459701394476748290513121813987328000.0000
0.2400,31030701649401995588845870761564314510819328.0000
0.2500,-30711354924870231917075480565399911728676864.0000
0.2600,31031788804065892983704055875703780992352256.0000
0.2700,-31972319780959680727249348195382978748088320.0000
0.2800,33474713321950836406420221617216490641031168.0000
0.2900,-35445529222441246112676957666882001938939904.0000
0.3000,37761511153356161369058630377774670338326528.0000
0.3100,-40276766854372043269298492038129787655421952.0000
0.3200,42831370602959827109547292751919381684944896.0000
0.3300,-45260905069886547402086703112283126019129344.0000
0.3400,47406358322915516277305080782866589255991296.0000
0.3500,-49123720438672532098428623407872555733745664.0000
0.3600,50292600284276202326596097756762466592751616.0000
0.3700,-50823220185354416473455500143606115959046144.0000
0.3800,50661250516414323063013756958123205041586176.0000
0.3900,-49790113769941195940683521936641383687258112.0000
0.4000,48230603772014083708140463090218530500509696.0000
0.4100,-46037906772926017745471585237668481181155328.0000
0.4200,43296348012374291790452782276840387225059328.0000
0.4300,-40112390159934014420924215963424534814523392.0000
0.4400,36606553153643199229606784230728770984607744.0000
0.4500,-32904991325111417524144968139788140056412160.0000
0.4600,29131447442108716420751856777166791024574464.0000
0.4700,-25400210388439984494748330456977509021908992.0000
0.4800,21810549978936056109451391571766412463570944.0000
0.4900,-18442912431315140287950546169036459724505088.0000
0.5000,15356959900768372512319725157492995047555072.0000
0.5100,-12591352586491445845936410552788161660977152.0000
0.5200,10165022669213284506032180491541928621375488.0000
0.5300,-8079588776628109650307213763333461567864832.0000
0.5400,6322512509883806985690766958648998812975104.0000
0.5500,-4870601704353102318864412031371860902936576.0000
0.5600,3693509333869059553072006040951636820492288.0000
0.5700,-2756949359153680069775402409103757961854976.0000
0.5800,2025437241983025587969376382937505567080448.0000
0.5900,-1464450234214743277865089329894151046561792.0000
0.6000,1041980538906573101966321806799877359796224.0000
0.6100,-729516228794637744977445000179442501287936.0000
0.6200,502527288562639906321655665270261469413376.0000
0.6300,-340557444032081279688876691945521028268032.0000
0.6400,227029066735732228567891205412118681616384.0000
0.6500,-148862318307668413086962685063825031430144.0000
0.6600,95995228425708930935364369585084592816128.0000
0.6700,-60872726407778205579633460459620626595840.0000
0.6800,37953168731345670542023840140587935203328.0000
0.6900,-23263046824779315915672825451451745566720.0000
0.7000,14015755890262808902057182205188134404096.0000
0.7100,-8299135148694440852385368448939254087680.0000
0.7200,4828889781127887233571353215373812957184.0000
0.7300,-2760503225977973985036266984239353823232.0000
0.7400,1550174342666798007143893678032299229184.0000
0.7500,-854958872626186755403376251039196905472.0000
0.7600,463019674305089060282930884071575781376.0000
0.7700,-246181958997973877342354872552248049664.0000
0.7800,128476652413503693061048068659109429248.0000
0.7900,-65797206930165624322415291708196519936.0000
0.8000,33060173745382547211462324400297082880.0000
0.8100,-16293381611008622940555978725230903296.0000
0.8200,7874341622015223990551248256486080512.0000
0.8300,-3730756022528663785837098708699709440.0000
0.8400,1732349120661087792646600612393254912.0000
0.8500,-788133314736295530227490799277309952.0000
0.8600,351198134440670340691688846662828032.0000
0.8700,-153231415576084151497689931637063680.0000
0.8800,65438459791004917500616019267289088.0000
0.8900,-27342959838020580685345928876392448.0000
0.9000,11174111239399561862507501776273408.0000
0.9100,-4464292690622762932442812787982336.0000
0.9200,1742890570899167157210485243248640.0000
0.9300,-664596719218603823727224299716608.0000
0.9400,247397554958997499976696431902720.0000
0.9500,-89854976505808776802832618618880.0000
0.9600,31821081261120952871049781837824.0000
0.9700,-10973346366244982277369935953920.0000
0.9800,3656161530361425680043616501760.0000
0.9900,-1088838997983630323444111900672.0000
1.0000,0.0000
