x,f(x)
0.000000,0.000000
0.010000,-2115505289755905602324487587918683304676953108690133631302477664302278209684476074942375470209970402121276199932870706828887058563326605335131981321931782057706225886337230864980309947056416801582634450713996183170559145415600434756917549800044520970169952164266911166519777733774409728.000000
0.020000,4237330806738183064741239708916739877544173623150914744041993690180212210724089184545614615592870965863377932109009185189472636621305233576709136196550423234783549605241962337163530156516173152579797492787195768723782288030734664315208102987159094408704375079301657275058159617577058304.000000
0.030000,-6366216743178319136858890720641625367634829498194552399467328527614641711744725272362130196075898362112628710131512125808572980890677293029313887565868722995504434594903997965146079311825754635330035062702912468436213641461064432803506770805337536317780778684532244705666804233510322176.000000
0.040000,8492574033923376242405027605783855701763053944623951101382360837983812409541980295500898608538990498630173066115105213436803812601199699059109552991795696973122113867021272078377082207927934529915234881305289074016011347581584601389407253394701444805078826070677360127071727045559975936.000000
0.050000,-10593292462822955902355159150904294918427338019038692122817523895812558715361484395717363053680023174422436313974419391597398557509011148233122635778334535321436831349031057974820731472645404773266441121095309559250306416680783441353638057037285984982317639958652196503989940800123305984.000000
0.060000,12630634070309760328291638557963176765583092853397343282691892593384491545674558936751394106197353868757907913678334730802489781124971276545692190567215503489907017904689898103570522460032373530493072555524055727718681623296168545360873300556633164245973775412419824471785471473799397376.000000
0.070000,-14553467516022931943057959402822793034704264397252665377831821004129156015588336947236618381330025184482743158495524518065664779874001455001118698891671958547553559099192103517812248979632199786627382308522358150424967258030025320009016911111215063423168159901553997339141807116682002432.000000
0.080000,16300783853928032878958609541030564109581611501621362588955722313268975108741164449722571792097376528805171067696478179286115370224548218031793253916755575040380195772699592297691078938220559927445248297290735719966115521466419798778382289129797835954585897031309509311099539184215392256.000000
0.090000,-17807115926003228219539023522343781408464509474380971787242282931938107926694293606186447610603024771031523673933560046883608260890859355163825672168207799490068099073034816153787188193876258386930478167059676607947142404261079513295755574137776442657578975977066702263028866938574995456.000000
0.100000,19009207105900565470991198798159891651852375653170119160985344605949066373143181640552685176269440568787864326054382792086113708372502888418409433286279202005376486057989958875290141685300170473154914045752811366070900633268659571926666237648394772766097796489571827918302717718753705984.000000
0.110000,-19853083783511903075159002848097369540954808232966743688128662382071408119824477858340099722593704203528191228037453171309049672035968999784908354461776205778165262854406217993031891864349742256263685479280373088354692377613561313044916845824979106601911534500124192805206327570559139840.000000
0.120000,20300613529005149098410638860583605074854640423210243523222513963182365412761855230169926572032791506293831142567106168023820921286301056041027373067502373440383875531831578790422357805045458392329734010808620823421723673677667123674426246541407755472559008041146473120931867725054083072.000000
0.130000,-20334693557683052503313606998879580647153466882983664543462847309893564619119598666820298269872177052871706452910181224009875779007222460782405101505230797300521539936523121622030458825939697658348449111693539323112189268068028686831109321971060318428662892342505007559514150710515073024.000000
0.140000,19962405301976189092170780190290265087164660233823250093886456865463483560428048231100470481486745727358995927081021833014797734977280967821771125182356645089642042008725651097677127942365332698987837412757502541781601358952269254760669362861388002084684010635081807993597993592345853952.000000
0.150000,-19215760207447004493579731694014337299515628761294060354936458798039856007862895022176933600043990727435288375539313218668552113685554401438317495359713566404893251692665874934514061197395809096954951370022425966530136690917847604878265912475707756092046670024261983047397459847106527232.000000
0.160000,18149999756596679021256697978905233291871805235571077537852544063622864373653081162314249852939891149885231487891707300543336243840721475231180459617839624084295813985615945492446105068058485093422087350671318284732573893828189559127581048396628121699030171785579871663726845861390450688.000000
0.170000,-16839739908189753553234500619660913580909076629099479593683205835673267650342662176876886592349311772824107745113482714837222087867733517712590387670964285772579081265981902033944563911154826562457317540761991059555266089914975863763535161958066138629432535245595947912281604384727498752.000000
0.180000,15373509908159786645650066552421885792837960844856696763665469286458064699384369692131322965965181725740534535719683089820777866659030376571176175603300212408716289469651636778511048397806647273867379465793312612553069801656768519897503280347470556910159930584989546423003561416334508032.000000
0.190000,-13847385821868460443240083047157437921837509287444898021922356334442631497981367502768988837745124523223602317055659541552342584745378162877981733949893760396364469257076041465665017475798955790307785151843332672140058207864558078316093553613162571348081870484440636375812638245988073472.000000
0.200000,12358441943294037763464820024512466057614438910191833846409992382227034786604214825254165126875046434211777701473972474797882132364756056019583179025569061460696171578009117305856162429317190825547006910180101011923283173209088764867419637607681010035700708452262513043793478175665684480.000000
0.210000,-10998647461393303869466789238171337091593104080401753396071099450867408794766372651609840254368019829544827465088764348846755236461027669862622173578752757922757119969570816325199137809258423786759877962644368509245455136654853172881643564986045896873370907391829795912208006725828083712.000000
0.220000,9849654686392276093977412993849098899645396692009087714133129544480458918482026174373438759384550707741067257684388632332187346946141232045646340170691592866237603397120483809775771979118618900593687387710346152584254372766885364406463273431060783903130973666943668307575624146270289920.000000
0.230000,-8978707696715026710555886849168837374092066585210256562214774498728124865479729847176410668674884088823204487820374336931538424774038154178346154972203032454814857821449572785541113001665685320611763947528590816790764063923486793104664239626706287832045097877762225071858271387798994944.000000
0.240000,8435698964453649421133906484743417135561452912614060276895848181572421765322995512167077063164223693117364258590227547133290119835975743973314397244455743479400773756815700799905908053092404227136691423481756549945152809651986419609588062887591635408034503789633282607712995000922931200.000000
0.250000,-8251259862980112249410463310353788072047372012775619431132054778884648601797431264814953692197049082418344980122299752085304477918935515220745935170639435398412035738783406515485793706831465110036400890854341356311036776268235004718008470985173031937891532074010817708141417103458566144.000000
0.260000,8435713485045840633510766213027668747166816468289190290334583958605949613596904008646159804650319333303025093094380434400659454354430051362549119372121832469477024883581422640935053105805745762417098859980710074084967700693097442242806387100741620551311035142880477986410537982013472768.000000
0.270000,-8978745378575118143258479679378898092886836062310459661850325317018100436754501156189755037880392110428566989347423897242973181124608209770241059140949765315216881508762053382929406255696692967624883140214706662474821234209462712823767029370547413459876659296819006155576541589421424640.000000
0.280000,9849736982645688177242963089786215639330142362255272431709949529114422881862593545342403709262982403955228260858203757334337990653524702805533057319807904473617491420584340361004229630227052289794562650226762286723015031406969373551467463073793707221438895143352413093076911247736176640.000000
0.290000,-10998818501110083510243066214779616488300131121427304972699429223563759356259329727385723363282601223642983974844366714176426627774450146889170667920844592845113624359814919772721370045959798439398997633650665358755442616794149563879531062775597363778195932403888735725709684616623816704.000000
0.300000,12358787477401888077389206819328331493515335607784493929089631503557714974611476096734865510429256105181929834961602321610213752978559005715061072591889631988481051507861349359844481830745575322023188761706442537610801658686976587027066424657040921475573775288909111041353776023396679680.000000
0.310000,-13848067231631492112312808451203161747449370508785197548543131265371852228313468560493054995122519310455752401897595568883935283034797007546442170463893839662278901619764240595679383522134719492007236371596369187618465820036124777881178431653699312574051882672618195389769020233303982080.000000
0.320000,15374822951863736166534328903498983857311494579120429917838590842521980260637098873291229948356046622640116233993256826720728170622132587956525995325309778564157849816190358534014535237352032204363837543461102680388942033381327116465012637022120124166959537611148209593138937972031225856.000000
0.330000,-16842213061866255901974009328691712268919805497603306636772486834797596337126343496988711830638694777263397844276496290241132728778822708399817832437880897820567274967996638704040727688877991249042530090245711231919007229518032805533129460565829750616112141585528945152814549800522350592.000000
0.340000,18154553964456557802039795980575819800668941945832211900686223361793421822303167630339056325235487997453063631229360464737517016186522806501309630260426520185319851241731178424422589463453445132683313740477683445759051114157958671488236607390316202318450436786218516169738486767270494208.000000
0.350000,-19223960672297413357829724173213097251439606230133659115621300654660170909566031742284839519949694705848909936830708888026181672393911191655910976684652066959739705798511013926524989176982863142796634175225234894180045046714180986767097458924471082714288588842181584048542245788076474368.000000
0.360000,19976846267598665539826102851248085688643696977392437182252156535101775489096143680998139192733508214377678410072247820956401731330367972182230681194894031437739600058869951039828525285380346953026330716427366779925805403682473831547240887644271028077036222929536086980054184894744494080.000000
0.370000,-20359567835692447601523017062511344663533887518515124759888820138401195179674677718207989907395235354145803096934915956684133016499800478101534888103488996886719784368344468374889479160708309163047733150777002819763995141015265537631053264882285789007903892229072022621169838760835153920.000000
0.380000,20342527821434434847597765994426506151151963964879953810895995571207776180804364655145714760745899099796901624206345703399232525809973982435742311330415865532463302212697677066167548221196512548398545542515395306594163563573107467171387608438343460641918250202882764628780877911353720832.000000
0.390000,-19922185508715938647391467716750060858641694726582175676202854212627259493587436720464581862242804923175396075252752713649647937796439488369044610059683467264512512569635749073849585205062087432381513903507036492954773425868376983194303683066381251398082097855753366161418439386902560768.000000
0.400000,19120684122585944346375983667447416357139647256355072309093359510141887686386713460614144228888319194890534698603323433560560849242342810800618657960134900482726785054656224202813709868944835373177167081525564106522362618008591553113220927746679835986549178974190886437725721620815806464.000000
0.410000,-17983112052213630485698173538190852348238659644953651691975676676667366429981117919221862346661172165008717896360445863375855964925812294417776558240718752444587360602726312447762435931318337617661809368355812337304523612565566859750121588867257894656697312961726085403651577441436041216.000000
0.420000,16572735043257835544993179644219034010772329998993801934160892962862402432893971656022004069405993685392032833484250837055273464205158585036450755610104715747486274994887501104772359234149656412451359345607295745060434121672833107386825119600772274312042072178604291385725694021090672640.000000
0.430000,-14964801778940947756764978830557655430327502087088940235521670756584696246694301466311302085881918218126745486108276344938962962394554180683733796722145190856916836448591675486256178277855105375720398847387841035450973531508112123786744289802856744675451256843317146378422596209825808384.000000
0.440000,13239691417066441894517004954600531946188143091641085833920743718710622410651252391194099339483233076665298778319837320597212010710599297150420087104130953972499860721015219088316845586701800824341598142116988133752420756948327629352206015706593991137564655369551465716713759435443404800.000000
0.450000,-11476212894889733893271382468847007980958511405556403874640245790211314028478821731386174492738527157390064350913904175339294273859854464877086335474753133014763004106766673342050996245132477686289301990720773382389648368013272451535626723619277524515990920102862769217479158623882969088.000000
0.460000,9745782183430885857096858462796885520162495847874663130663134792191823487067838845109326316505953025752207363199967647724885084752366502443669399130778671745768772188638444772426482358654066645427280211510710219673595004941921523605449098946643661070298243916791259494982352175921889280.000000
0.470000,-8108018980608901455465774711186178927614731197985993684415895542804833454750058096693883295937122225986605023373637355030770895756554624400718804996360893772865083129494729897295974771137720305219037896239996747210438969538440842535723479151165015761736690420470756305915441550452588544.000000
0.480000,6608059248322855961292427315107345981454363118612145770557209887214379140956931657751643002774500927675111208544535315658882598175764038261757821464035732913525136806595527785183259371489742101451540788324476313379967482276789357870180691061668358150121362389958848984781287526284394496.000000
0.490000,-5275622038479380451718401810512245284425179121247251713130692388136816080506463426025650460951454479702194563908753340218630383031550502237727120143386553012831926153635978304649851468471364828129997908797005809124126851983109737562332389676154947471157202382778467158021741964527927296.000000
0.500000,4125642181931986720094949938049661668870731353293151240214972012883802920045504142220151122927219519053201687067508224864445984334594978633649610118885512685155992615767368571274580538320669274267856238243098048257708131239017448393666018444195156018921401252001882743983117266336088064.000000
0.510000,-3160116748723191419377959938188893949453618301397720720237796344637916219901594540534553307854376052723134635894577140576829442018687676523129465630664036040963754900215736090213576055187291502088130055297384678452612451264930477388235778663237539701051061703441919354053312594317410304.000000
0.520000,2370728441584097319659515298904705229714522950618428742353499842635808517040357911989192835447232584211443673929314882716064807912763162367382607091592475216524551828684523760727512298934367115883234828929753274754431698156288374278147635247994799307995780624416056357439239823158149120.000000
0.530000,-1741802237429697161119966183424290214670274076217218956253793493579866344837358632208019307359174477761736543623807702273386712546775863998068970680874507499302233879329621930260855126293440960231135981035099936671987620231205259710812203104134055709952027566322153378356343156926054400.000000
0.540000,1253208149506289782619438605959202265836069666406260010804956549613417616248715959567424230266436097678189696638013631110041841441047264044044954438077463278145387394134091229196046447986786514437730461553029712703798597726311744418713882195887238406780164758889685023327332253323755520.000000
0.550000,-882920432065197333679065407525626861894703168831007360623221818804548454675929527352361718278956526538012166633303917952075891021836100660065667661291144080702611642521505474271739749275240068321973001713833174634480583456783799281336753909268935050152169171072916014055171791668641792.000000
