M,theta,beta_lower,beta_upper
1.5,0,41.810315,90.000000
1.5,1,42.912967,88.838442
1.5,2,44.064592,87.667422
1.5,3,45.271756,86.476875
1.5,4,46.542915,85.255419
1.5,5,47.889264,83.989378
1.5,6,49.326162,82.661261
1.5,7,50.875670,81.247160
1.5,8,52.571495,79.711751
1.5,9,54.469889,77.997354
1.5,10,56.678677,75.994872
1.5,11,59.465113,73.435910
1.5,12,64.358812,68.789822
3.0,0,19.471221,90.000000
3.0,1,20.157561,89.649912
3.0,2,20.866740,89.299296
3.0,3,21.598967,88.947619
3.0,4,22.354422,88.594339
3.0,5,23.133257,88.238901
3.0,6,23.935609,87.880730
3.0,7,24.761601,87.519229
3.0,8,25.611354,87.153766
3.0,9,26.485000,86.783678
3.0,10,27.382691,86.408250
3.0,11,28.304611,86.026719
3.0,12,29.250996,85.638253
3.0,13,30.222147,85.241943
3.0,14,31.218450,84.836791
3.0,15,32.240400,84.421682
3.0,16,33.288628,83.995372
3.0,17,34.363929,83.556451
3.0,18,35.467306,83.103313
3.0,19,36.600016,82.634106
3.0,20,37.763634,82.146671
3.0,21,38.960135,81.638467
3.0,22,40.192002,81.106458
3.0,23,41.462380,80.546965
3.0,24,42.775287,79.955450
3.0,25,44.135929,79.326212
3.0,26,45.551169,78.651908
3.0,27,47.030277,77.922806
3.0,28,48.586178,77.125544
3.0,29,50.237680,76.240892
3.0,30,52.013840,75.239388
3.0,31,53.963656,74.071653
3.0,32,56.182115,72.642335
3.0,33,58.908884,70.711418
3.0,34,63.673174,66.749358
4.0,0,14.477512,90.000000
4.0,1,15.131265,89.719941
4.0,2,15.812579,89.439529
4.0,3,16.521451,89.158407
4.0,4,17.257761,88.876216
4.0,5,18.021291,88.592587
4.0,6,18.811730,88.307142
4.0,7,19.628693,88.019492
4.0,8,20.471740,87.729230
4.0,9,21.340391,87.435930
4.0,10,22.234146,87.139146
4.0,11,23.152503,86.838401
4.0,12,24.094977,86.533190
4.0,13,25.061119,86.222970
4.0,14,26.050529,85.907152
4.0,15,27.062877,85.585100
4.0,16,28.097914,85.256116
4.0,17,29.155495,84.919434
4.0,18,30.235589,84.574203
4.0,19,31.338302,84.219476
4.0,20,32.463897,83.854189
4.0,21,33.612818,83.477139
4.0,22,34.785719,83.086952
4.0,23,35.983504,82.682047
4.0,24,37.207369,82.260592
4.0,25,38.458870,81.820431
4.0,26,39.740003,81.359009
4.0,27,41.053320,80.873251
4.0,28,42.402086,80.359401
4.0,29,43.790507,79.812795
4.0,30,45.224076,79.227514
4.0,31,46.710087,78.595867
4.0,32,48.258480,77.907541
4.0,33,49.883270,77.148175
4.0,34,51.605176,76.296728
4.0,35,53.456928,75.320168
4.0,36,55.495654,74.161087
4.0,37,57.838963,72.701613
4.0,38,60.827140,70.601218
5.0,0,11.536959,90.000000
5.0,1,12.178534,89.749951
5.0,2,12.853229,89.499611
5.0,3,13.560821,89.248685
5.0,4,14.300857,88.996875
5.0,5,15.072683,88.743880
5.0,6,15.875476,88.489390
5.0,7,16.708280,88.233084
5.0,8,17.570043,87.974632
5.0,9,18.459662,87.713688
5.0,10,19.376011,87.449892
5.0,11,20.317978,87.182862
5.0,12,21.284493,86.912193
5.0,13,22.274550,86.637455
5.0,14,23.287229,86.358187
5.0,15,24.321708,86.073891
5.0,16,25.377280,85.784028
5.0,17,26.453364,85.488011
5.0,18,27.549509,85.185195
5.0,19,28.665411,84.874872
5.0,20,29.800916,84.556255
5.0,21,30.956034,84.228465
5.0,22,32.130952,83.890516
5.0,23,33.326053,83.541291
5.0,24,34.541933,83.179519
5.0,25,35.779435,82.803738
5.0,26,37.039688,82.412251
5.0,27,38.324156,82.003075
5.0,28,39.634714,81.573857
5.0,29,40.973742,81.121782
5.0,30,42.344265,80.643423
5.0,31,43.750148,80.134548
5.0,32,45.196388,79.589823
5.0,33,46.689552,79.002371
5.0,34,48.238476,78.363071
5.0,35,49.855429,77.659391
5.0,36,51.558191,76.873311
5.0,37,53.374109,75.977261
5.0,38,55.349034,74.925185
5.0,39,57.571138,73.628721
5.0,40,60.259269,71.868846
5.0,41,64.655148,68.403675
7.0,0,8.213211,90.000000
7.0,1,8.848258,89.774959
7.0,2,9.528135,89.549672
7.0,3,10.251948,89.323891
7.0,4,11.018214,89.097366
7.0,5,11.824981,88.869843
7.0,6,12.669959,88.641060
7.0,7,13.550663,88.410752
7.0,8,14.464536,88.178642
7.0,9,15.409058,87.944442
7.0,10,16.381817,87.707854
7.0,11,17.380577,87.468562
7.0,12,18.403300,87.226235
7.0,13,19.448173,86.980521
7.0,14,20.513612,86.731046
7.0,15,21.598256,86.477407
7.0,16,22.700964,86.219174
7.0,17,23.820802,85.955879
7.0,18,24.957035,85.687014
7.0,19,26.109117,85.412023
7.0,20,27.276681,85.130298
7.0,21,28.459538,84.841163
7.0,22,29.657670,84.543872
7.0,23,30.871236,84.237587
7.0,24,32.100573,83.921367
7.0,25,33.346211,83.594148
7.0,26,34.608890,83.254713
7.0,27,35.889579,82.901667
7.0,28,37.189520,82.533389
7.0,29,38.510268,82.147982
7.0,30,39.853762,81.743204
7.0,31,41.222416,81.316364
7.0,32,42.619246,80.864201
7.0,33,44.048057,80.382687
7.0,34,45.513710,79.866758
7.0,35,47.022534,79.309904
7.0,36,48.582965,78.703522
7.0,37,50.206617,78.035847
7.0,38,51.910162,77.290071
7.0,39,53.718949,76.440718
7.0,40,55.674846,75.445808
7.0,41,57.856451,74.226635
7.0,42,60.449713,72.597156
7.0,43,64.284386,69.727527
8.0,0,7.180756,90.000000
8.0,1,7.815874,89.780913
8.0,2,8.501741,89.561590
8.0,3,9.236971,89.341794
8.0,4,10.019345,89.121285
8.0,5,10.846018,88.899819
8.0,6,11.713757,88.677147
8.0,7,12.619161,88.453014
8.0,8,13.558845,88.227154
8.0,9,14.529581,87.999295
8.0,10,15.528385,87.769149
8.0,11,16.552572,87.536417
8.0,12,17.599774,87.300783
8.0,13,18.667942,87.061913
8.0,14,19.755331,86.819449
8.0,15,20.860481,86.573012
8.0,16,21.982196,86.322192
8.0,17,23.119516,86.066546
8.0,18,24.271704,85.805596
8.0,19,25.438221,85.538819
8.0,20,26.618718,85.265640
8.0,21,27.813021,84.985427
8.0,22,29.021124,84.697481
8.0,23,30.243192,84.401020
8.0,24,31.479560,84.095169
8.0,25,32.730737,83.778940
8.0,26,33.997428,83.451208
8.0,27,35.280547,83.110689
8.0,28,36.581250,82.755896
8.0,29,37.900973,82.385101
8.0,30,39.241490,81.996268
8.0,31,40.604992,81.586974
8.0,32,41.994189,81.154300
8.0,33,43.412465,80.694674
8.0,34,44.864095,80.203653
8.0,35,46.354573,79.675591
8.0,36,47.891107,79.103142
8.0,37,49.483426,78.476454
8.0,38,51.145151,77.781792
8.0,39,52.896303,76.999032
8.0,40,54.768373,76.096590
8.0,41,56.816115,75.019625
8.0,42,59.151746,73.655844
8.0,43,62.097056,71.683384
